,No,개설학과,학년,과목번호,분반,과목명,"제한
인원","수강
인원","개설
이수구분",학점/시수,수업방식,강의시간,담당교수,교원구분,수강안내,수강제한참고사항,"영어
강의",교양영역,"교육과정
이수구분","교육과정
적용년도",수업유형,성적평가방식,영문과목명,절대상대평가,교직영역,"전자
출결","국어관련
교과목","영어관련
교과목","인문학관련
교과목","소프트웨어관련
교과목",전문가,Unnamed: 31,혁신가,Unnamed: 33,세계시민,Unnamed: 35,인증제,Unnamed: 37,Unnamed: 38
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,전공지식탐구역량,융복합지식활용역량,창의적문제해결역량,미래 ICT역량,윤리지향성역량,지속가능성역량,이수구분,설계학점,이론/실습/설계
3423,3423.0,사범대학 기술교육과,2.0,1351-2005,0.0,기계기술,40.0,31.0,전공(핵심),3/3/0,,"월09:00~11:00(글로벌307), 금09:00~10:00(글로벌307)",이태윤,전임교수,,,,,전공(핵심),2024.0,이론,GRADE,Mechanical Technology,상대평가,,,,,,,15,10,10,5,5,10,,,0/0/0
3424,3424.0,사범대학 기술교육과,2.0,1351-2009,0.0,컴퓨터기술,40.0,37.0,전공(핵심),3/3/0,,"화10:00~12:00(글로벌303), 수09:00~10:00(글로벌303)",김용성,전임교수,,,,,전공(핵심),2024.0,이론,GRADE,Computer Technology,상대평가,기본이수,,,,,,15,10,10,15,5,10,,,0/0/0
3425,3425.0,사범대학 기술교육과,2.0,1351-2015,0.0,기술교육론,50.0,42.0,전공(심화),2/2/0,,수10:00~12:00(글로벌307),최유현,전임교수,,,,,전공(심화),2024.0,이론,GRADE,Introduction of Technology Education,상대평가,교과교육,,,,,,10,0,10,0,5,0,,,
3426,3426.0,사범대학 기술교육과,3.0,1340-3002,5.0,미래설계상담5,40.0,25.0,전공(기초),0/0/0,,,최유현,전임교수,,,,,전공(기초),2023.0,상담,PASS/FAIL,Counseling for Future Planning 5,절대평가,,,,,,,0,0,0,0,0,0,,,0/0/0
3427,3427.0,사범대학 기술교육과,3.0,1351-3003,0.0,전자기술,40.0,30.0,전공(심화),3/3/0,,"화14:00~16:00(글로벌407), 수13:00~14:00(글로벌407)",이명훈,전임교수,,,,,전공(심화),2023.0,이론,GRADE,Electronic Techonology,상대평가,기본이수,,,,,,15,0,5,0,0,0,,,0/0/0
3428,3428.0,사범대학 기술교육과,3.0,1351-3005,0.0,기술교육실천사례,0.0,0.0,전공(심화),2/2/0,,,,,,,,,전공(심화),2023.0,이론,GRADE,Practical Cases of Technology Education,상대평가,,,,,,,5,5,5,0,5,5,,,0/0/0
3429,3429.0,사범대학 기술교육과,3.0,1351-3007,0.0,토목기술,40.0,32.0,전공(심화),3/3/0,,화09:00~12:00(글로벌307),조두용,전임교수,,,,,전공(심화),2023.0,이론,GRADE,Civil Engineering,상대평가,기본이수,,,,,,15,10,10,5,5,10,,,0/0/0
3430,3430.0,사범대학 기술교육과,3.0,1351-3009,0.0,수송기술,40.0,39.0,전공(핵심),3/3/0,,월09:00~12:00(글로벌303),오동진,강사,,,,,전공(핵심),2023.0,이론,GRADE,Transportation Technology,상대평가,기본이수,,,,,,5,10,15,0,0,0,,,0/0/0
3431,3431.0,사범대학 기술교육과,3.0,1351-3010,0.0,제조기술실습,35.0,28.0,전공(핵심),3/0/6,,목14:00~20:00(공5214),우연재,강사,,,,,전공(핵심),2023.0,실습,GRADE,Manufacturing Technology Practice,절대평가,,,,,,,0,0,0,0,0,0,,,0/0/0
3432,3432.0,사범대학 기술교육과,3.0,1351-3015,0.0,목재가공실습,25.0,24.0,전공(심화),3/0/6,,"수09:00~13:00(공5107), 목09:00~11:00(공5107)",이정아,강사,,,,,전공(심화),2023.0,실습,GRADE,Wood Working Practice,절대평가,,,,,,,15,15,10,5,10,12,,,0/0/0
3433,3433.0,사범대학 기술교육과,3.0,1351-3016,0.0,기술교육과정및교재연구,45.0,31.0,전공(핵심),3/3/0,,"수14:00~16:00(글로벌307), 목11:00~12:00(글로벌307)",최유현,전임교수,,,,,전공(핵심),2023.0,이론,GRADE,Curriculum & Instrunctional Materials in Technology,상대평가,교과교육,,,,,,10,5,5,5,0,0,,,
3434,3434.0,사범대학 기술교육과,3.0,1351-4020,0.0,디지털활용교육,0.0,0.0,전공(심화),2/2/0,,,,,,,,,전공(심화),2023.0,이론,GRADE,Digital application education,상대평가,,,,,,,15,10,10,15,5,10,,,
3435,3435.0,사범대학 기술교육과,4.0,1351-4001,0.0,에너지와동력,45.0,26.0,전공(핵심),3/3/0,,목14:00~18:00(글로벌307),임석연,전임교수,,,,,전공(핵심),2022.0,이론,GRADE,Energy & Power,상대평가,기본이수,,,,,,15,15,10,5,5,10,,,0/0/0
3436,3436.0,사범대학 기술교육과,4.0,1351-4002,0.0,정보통신기술,45.0,35.0,전공(핵심),3/3/0,,"화14:00~17:00(글로벌307), 목09:00~10:00(글로벌307)",김용성,전임교수,,,,,전공(핵심),2022.0,이론,GRADE,Information Communication Technology,상대평가,기본이수,,,,,,5,5,15,0,0,0,,,0/0/0
3437,3437.0,사범대학 기술교육과,4.0,1351-4011,0.0,전기전자응용실습,40.0,27.0,전공(심화),2/0/4,,화09:00~14:00(글로벌407),이명훈,전임교수,,,,,전공(심화),2022.0,실습,GRADE,Advanced Practice for Electric & Electronic Technology,절대평가,,,,,,,10,0,15,0,0,0,,,0/0/0
3438,3438.0,사범대학 기술교육과,4.0,1351-4016,0.0,교과지도와생활상담,29.0,29.0,전공(심화),3/3/0,,"수09:00~11:00(글로벌407), 목11:00~12:00(글로벌407)",이명훈,전임교수,,,,,전공(심화),2022.0,이론,GRADE,Technology Education and Life Counseling,상대평가,,,,,,,15,15,5,0,10,10,,,
3439,3439.0,사범대학 기술교육과,4.0,1351-4019,0.0,융합기술프로젝트,29.0,29.0,전공(심화),3/0/6,,화18:00~24:00(글로벌307),이명훈,전임교수,,,,,전공(심화),2022.0,실습,GRADE,Convergence Technology project,절대평가,,,,,,,15,15,10,0,0,10,,,
3440,3440.0,사범대학 기계공학교육과,1.0,1340-1001,0.0,미래설계상담1,40.0,35.0,전공(기초),0/0/0,,,이창훈,전임교수,,,,,전공(기초),2025.0,상담,PASS/FAIL,Counseling for Future Planning 1,절대평가,,,,,,,0,0,0,0,0,0,,,0/0/0
3441,3441.0,사범대학 기계공학교육과,1.0,1340-1003,2.0,공업수학,43.0,37.0,전공(기초),3/3/0,,"월15:00~16:00(글로벌104), 월17:00~19:00(글로벌104)",김충환,전임교수,,,,,전공(기초),2025.0,이론,GRADE,Industrial Mathematics,상대평가,,,,,,,0,0,0,0,0,0,,,0/0/0
3442,3442.0,사범대학 기계공학교육과,1.0,1340-1004,1.0,공업물리,40.0,36.0,전공(기초),3/3/0,,"목17:00~18:00(글로벌104), 금10:00~12:00(글로벌104)",강태규,초빙교원,,,,,전공(기초),2025.0,이론,GRADE,Industrial Physics,상대평가,,,,,,,0,0,0,0,0,0,,,0/0/0
3443,3443.0,사범대학 기계공학교육과,1.0,1347-1003,0.0,창의공학설계입문,40.0,33.0,전공(핵심),3/3/0,,금13:00~16:00(글로벌101),송교원,강사,,,,,전공(핵심),2025.0,이론,GRADE,Introduction to Createive Engineering Design,상대평가,,,,,,,0,0,0,0,0,0,,,0/0/0
3444,3444.0,사범대학 기계공학교육과,1.0,1347-7002,0.0,융합학문탐구프로젝트,30.0,15.0,교양(소양),2/2/0,원격수업,화15:00~17:00(글로벌104),임나영,강사,,,,소양교양(융합과확장),교양(소양필수),2025.0,이론,GRADE,Research and Project of Convergence Knowledge,상대평가,,,,,,,0,0,0,0,0,0,,,0/0/0
3445,3445.0,사범대학 기계공학교육과,1.0,1347-7003,0.0,대학생활과 진로설계,40.0,30.0,교양(소양필수),1/1/0,,화17:00~18:00(글로벌104),이창훈,전임교수,신입생 기초영역으로 초과 이수 가능,,,소양교양(신입생기초),교양(소양필수),2025.0,이론,GRADE,Career design,절대평가,,,,,,,0,0,0,0,0,0,,0,
3446,3446.0,사범대학 기계공학교육과,2.0,1197-2007,0.0,열역학,40.0,24.0,전공(핵심),3/3/0,,화14:00~17:00(글로벌101),임석연,전임교수,,,,,전공(핵심),2024.0,이론,GRADE,Thermodynamics,상대평가,기본이수,,,,,,10,5,10,0,0,0,,,0/0/0
3447,3447.0,사범대학 기계공학교육과,2.0,1197-2008,0.0,고체역학,40.0,27.0,전공(핵심),3/3/0,,"월11:00~12:00(글로벌104), 월13:00~15:00(글로벌104)",김충환,전임교수,,,,,전공(핵심),2024.0,이론,GRADE,Solid Mechanics,상대평가,기본이수,,,,,,15,15,15,10,15,5,,,0/0/0
3448,3448.0,사범대학 기계공학교육과,2.0,1340-2002,6.0,미래설계상담3,40.0,21.0,전공(기초),0/0/0,,,이창훈,전임교수,,,,,전공(기초),2024.0,상담,PASS/FAIL,Counseling for Future Planning 3,절대평가,,,,,,,0,0,0,0,0,0,,,0/0/0
3449,3449.0,사범대학 기계공학교육과,2.0,1347-2002,0.0,설계와제도,15.0,15.0,전공(핵심),3/2/2,,"목09:00~11:00(공5210), 목11:00~13:00(공5210)",이후승,전임교수,,,,,전공(핵심),2024.0,이론/실습,GRADE,Design and Drafting,상대평가,,,,,,,15,15,4,0,0,0,,,0/0/0
3450,3450.0,사범대학 기계공학교육과,2.0,1347-2007,0.0,기계공작실습,28.0,25.0,전공(기초),3/0/6,,금13:00~19:00(공5214),이후승,전임교수,,,,,전공(기초),2024.0,실습,GRADE,Manufacturing Practices,절대평가,,,,,,,10,5,0,0,0,0,,,
3451,3451.0,사범대학 기계공학교육과,2.0,1347-2008,0.0,기계·재료교육론,40.0,25.0,전공(핵심),3/3/0,,수10:00~13:00(글로벌104),정훈섭,강사,,,,,전공(핵심),2024.0,이론,GRADE,Foundation of Mechanical & Material Engineering Education,상대평가,교과교육,,,,,,15,5,5,0,2,2,,,
3452,3452.0,사범대학 기계공학교육과,2.0,1347-2012,0.0,재료과학실무,40.0,16.0,전공(기초),3/3/0,,금09:00~12:00(글로벌101),문광호,겸임교원,,,,,전공(기초),2024.0,이론,GRADE,Materials Science Practice,상대평가,,,,,,,15,10,0,0,0,0,,,
3453,3453.0,사범대학 기계공학교육과,3.0,1197-3003,0.0,CNC가공 및 실습,15.0,15.0,전공(심화),3/2/2,,"화09:00~11:00(공5214), 화11:00~13:00(공5214)",이후승,전임교수,,,,,전공(심화),2023.0,이론/실습,GRADE,Computer Numerical Control Machining and Practice,상대평가,기본이수,,,,,,5,5,5,0,0,0,,,0/0/0
3454,3454.0,사범대학 기계공학교육과,3.0,1203-3009,2.0,재료강도학,40.0,26.0,전공(핵심),3/3/0,,"수14:00~16:00(글로벌104), 목16:00~17:00(글로벌104)",강태규,초빙교원,,,,,전공(핵심),2023.0,이론,GRADE,Strengthening Theory of Materials,상대평가,기본이수,,,,,,15,15,15,0,0,10,,,
3455,3455.0,사범대학 기계공학교육과,3.0,1340-3002,6.0,미래설계상담5,40.0,20.0,전공(기초),0/0/0,,,이창훈,전임교수,,,,,전공(기초),2023.0,상담,PASS/FAIL,Counseling for Future Planning 5,절대평가,,,,,,,0,0,0,0,0,0,,,0/0/0
3456,3456.0,사범대학 기계공학교육과,3.0,1347-3008,0.0,기계·재료 교육과정 및 교재연구,40.0,24.0,전공(핵심),3/3/0,,목13:00~16:00(글로벌101),이상현,강사,,,,,전공(핵심),2023.0,이론,GRADE,Curriculum & Instructional Materials in Mechanical & Material Engineering Education,상대평가,교과교육,,,,,,15,15,10,15,0,0,,,0/0/0
3457,3457.0,사범대학 기계공학교육과,3.0,1347-3009,0.0,기계·재료 교수법 및 평가,40.0,22.0,전공(핵심),2/2/0,,수10:00~12:00(글로벌101),송교원,강사,,,,,전공(핵심),2023.0,이론,GRADE,Pedagogics and Evaluation in Mechanical & Material Engineering Education,상대평가,교과교육,,,,,,15,15,0,0,0,0,,,
3458,3458.0,사범대학 기계공학교육과,3.0,1347-3018,0.0,내연기관실무,40.0,33.0,전공(심화),3/3/0,,월14:00~17:00(글로벌101),오동진,강사,,,,,전공(심화),2023.0,이론,GRADE,Internal Combustion Engine Practice,상대평가,,,,,,,10,5,5,0,0,0,,,
3459,3459.0,사범대학 기계·재료공학교육과,4.0,1197-4007,0.0,자동제어,40.0,15.0,전공(핵심),3/3/0,,"화10:00~12:00(글로벌104), 화13:00~15:00(글로벌104)",김충환,전임교수,,,,,전공(핵심),2022.0,이론,GRADE,Automatic Control,상대평가,기본이수,,,,,,15,15,15,15,15,5,,,0/0/0
3460,3460.0,사범대학 기계·재료공학교육과,4.0,1203-3003,0.0,소성가공학,40.0,13.0,전공(심화),3/3/0,,"수16:00~18:00(글로벌104), 목14:00~16:00(글로벌104)",강태규,초빙교원,,,,,전공(심화),2022.0,이론,GRADE,Plastic Forming Engineering,상대평가,기본이수,,,,,,15,5,5,0,0,0,,,0/0/0
3461,3461.0,사범대학 기계·재료공학교육과,4.0,1340-3006,0.0,산학협동교육,40.0,10.0,전공(심화),2/2/0,,수13:00~16:00(글로벌101),이상현,강사,,,,,전공(심화),2022.0,이론,GRADE,Cooperative Occupational Education,상대평가,,,,,,,15,10,0,0,15,0,,,0/0/0
3462,3462.0,사범대학 기계·재료공학교육과,4.0,1347-4005,0.0,기계·재료교육세미나,14.0,14.0,전공(심화),3/3/0,,목09:00~13:00(공1409),이창훈,전임교수,,,,,전공(심화),2022.0,이론,GRADE,Research of Mechanical & Material Engineering Education Seminar,상대평가,,,,,,,15,10,0,0,0,0,,,
3463,3463.0,사범대학 기계·재료공학교육과,4.0,1347-4006,0.0,생활지도와상담의이론과실제,40.0,0.0,전공(심화),2/2/0,,월10:00~13:00(글로벌101),이상현,강사,,,,,전공(심화),2022.0,이론,GRADE,Theory and Practice of Career Guidance and Counseling,상대평가,,,,,,,15,15,15,15,15,0,,,
3464,3464.0,간호대학 간호학과,1.0,1360-1001,0.0,미래설계상담1,200.0,89.0,전공(기초),0/0/0,,,정미숙,전임교수,,,,,전공(기초),2025.0,상담,PASS/FAIL,Counseling for Future Planning 1,절대평가,,,,,,,0,0,0,0,0,0,,,
3465,3465.0,간호대학 간호학과,1.0,1361-1009,0.0,간호학개론,51.0,51.0,전공(핵심),2/2/0,,금13:00~15:00(201 대형강의실),서현주,전임교수,,,,,전공(핵심),2025.0,이론,GRADE,Introduction to Nursing Science,상대평가,,,,,,,0,0,0,0,0,0,,,0/0/0
3466,3466.0,간호대학 간호학과,1.0,1361-1009,1.0,간호학개론,50.0,50.0,전공(핵심),2/2/0,,금10:00~12:00(201 대형강의실),서현주,전임교수,,,,,전공(핵심),2025.0,이론,GRADE,Introduction to Nursing Science,상대평가,,,,,,,0,0,0,0,0,0,,,0/0/0
3467,3467.0,간호대학 간호학과,1.0,1361-1010,0.0,기초건강과학1(인체구조와 기능),50.0,50.0,전공(기초),3/3/0,,금09:00~12:00(101 대형강의실),이현정,전임교수,,,Y,,전공(기초),2025.0,이론,GRADE,Biological Health Science 1 (Anatomy & Physiology),상대평가,,,,,,,0,0,0,0,0,0,,,0/0/0
3468,3468.0,간호대학 간호학과,1.0,1361-1010,1.0,기초건강과학1(인체구조와 기능),50.0,50.0,전공(기초),3/3/0,,금13:00~16:00(101 대형강의실),이현정,전임교수,,,Y,,전공(기초),2025.0,이론,GRADE,Biological Health Science 1 (Anatomy & Physiology),상대평가,,,,,,,0,0,0,0,0,0,,,0/0/0
3469,3469.0,간호대학 간호학과,1.0,1361-7001,0.0,대학생의성건강,100.0,104.0,교양(소양),3/3/0,원격수업,,송라윤,전임교수,[군E러닝 교과목],,,소양교양(인성),,2025.0,이론,GRADE,Sexual health for College Students,상대평가,,,,,,,,,,,,,,,0/0/0
3470,3470.0,간호대학 간호학과,1.0,1361-7002,0.0,대학생활과 진로설계,60.0,50.0,교양(소양필수),1/1/0,,금16:00~17:00(101 대형강의실),송라윤,전임교수,신입생 기초영역으로 초과 이수 가능,,,소양교양(신입생기초),교양(소양필수),2025.0,이론,GRADE,Career design,절대평가,,,,,,,0,0,0,0,0,0,,,
3471,3471.0,간호대학 간호학과,1.0,1361-7002,1.0,대학생활과 진로설계,60.0,41.0,교양(소양필수),1/1/0,,금16:00~17:00(201 대형강의실),송라윤,전임교수,신입생 기초영역으로 초과 이수 가능,,,소양교양(신입생기초),교양(소양필수),2025.0,이론,GRADE,Career design,절대평가,,,,,,,0,0,0,0,0,0,,,
3472,3472.0,간호대학 간호학과,2.0,1360-2001,0.0,미래설계상담3,200.0,90.0,전공(기초),0/0/0,,,정미숙,전임교수,,,,,전공(기초),2024.0,상담,PASS/FAIL,Counseling for Future Planning 3,절대평가,,,,,,,0,0,0,0,0,0,,,
3473,3473.0,간호대학 간호학과,2.0,1361-1001,0.0,의사소통론,31.0,31.0,전공(심화),2/2/0,,월16:00~18:00(306강의실),강문희,전임교수,,,,,전공(심화),2024.0,이론,GRADE,Therapeutic Communication,상대평가,,,,,,,15,15,5,0,5,10,,,
3474,3474.0,간호대학 간호학과,2.0,1361-1003,0.0,비판적사고 및 간호과정,47.0,42.0,전공(핵심),1/1/0,,화17:00~18:00(305 강의실),박문경,전임교수,,,,,전공(핵심),2024.0,이론,GRADE,Critical Thinking & Nursing Process,상대평가,,,,,,,15,10,10,0,7,7,,0,1/0/0
3475,3475.0,간호대학 간호학과,2.0,1361-1003,1.0,비판적사고 및 간호과정,47.0,42.0,전공(핵심),1/1/0,,화16:00~17:00(305 강의실),박문경,전임교수,,,,,전공(핵심),2024.0,이론,GRADE,Critical Thinking & Nursing Process,상대평가,,,,,,,15,10,10,0,7,7,,0,1/0/0
3476,3476.0,간호대학 간호학과,2.0,1361-2001,0.0,보건교육론,31.0,26.0,전공(심화),2/2/0,,월16:00~18:00(305 강의실),정미숙,전임교수,,,,,전공(심화),2024.0,이론,GRADE,Health Education,상대평가,교과교육,,,,,,15,10,10,5,15,10,,,
3477,3477.0,간호대학 간호학과,2.0,1361-2002,0.0,기본간호학1,47.0,46.0,전공(핵심),2/2/0,,월10:00~12:00(305 강의실),박세연,전임교수,,,,,전공(핵심),2024.0,이론,GRADE,Fundamentals of Nursing 1,상대평가,기본이수,,,,,,15,10,12,8,9,5,,0,2/0/0
3478,3478.0,간호대학 간호학과,2.0,1361-2002,1.0,기본간호학1,47.0,46.0,전공(핵심),2/2/0,,월13:00~15:00(305 강의실),박세연,전임교수,,,,,전공(핵심),2024.0,이론,GRADE,Fundamentals of Nursing 1,상대평가,기본이수,,,,,,15,10,12,8,9,5,,0,2/0/0
3479,3479.0,간호대학 간호학과,2.0,1361-2003,0.0,기본간호학실습1,20.0,14.0,전공(핵심),1/0/2,,화09:00~11:00(401기본간호학실습실),박세연,전임교수,,,,,전공(핵심),2024.0,실습,GRADE,Fundamentals of Nursing Practice 1,절대평가,,,,,,,15,10,13,8,9,5,,0,0/2/0
3480,3480.0,간호대학 간호학과,2.0,1361-2003,1.0,기본간호학실습1,20.0,20.0,전공(핵심),1/0/2,,화11:00~13:00(401기본간호학실습실),박세연,전임교수,,,,,전공(핵심),2024.0,실습,GRADE,Fundamentals of Nursing Practice 1,절대평가,,,,,,,15,10,13,8,9,5,,0,0/2/0
3481,3481.0,간호대학 간호학과,2.0,1361-2003,2.0,기본간호학실습1,20.0,17.0,전공(핵심),1/0/2,,화13:00~15:00(401기본간호학실습실),박세연,전임교수,,,,,전공(핵심),2024.0,실습,GRADE,Fundamentals of Nursing Practice 1,절대평가,,,,,,,15,10,13,8,9,5,,0,0/2/0
3482,3482.0,간호대학 간호학과,2.0,1361-2003,3.0,기본간호학실습1,20.0,20.0,전공(핵심),1/0/2,,화15:00~17:00(401기본간호학실습실),박세연,전임교수,,,,,전공(핵심),2024.0,실습,GRADE,Fundamentals of Nursing Practice 1,절대평가,,,,,,,15,10,13,8,9,5,,0,0/2/0
3483,3483.0,간호대학 간호학과,2.0,1361-2003,4.0,기본간호학실습1,20.0,20.0,전공(핵심),1/0/2,,화17:00~19:00(401기본간호학실습실),박세연,전임교수,,,,,전공(핵심),2024.0,실습,GRADE,Fundamentals of Nursing Practice 1,절대평가,,,,,,,15,10,13,8,9,5,,0,0/2/0
3484,3484.0,간호대학 간호학과,2.0,1361-2009,0.0,건강사정법및실습,20.0,19.0,전공(핵심),2/1/2,,"월09:00~10:00(401기본간호학실습실), 월10:00~12:00(401기본간호학실습실)",ko geumbo,강사,,,,,전공(핵심),2024.0,이론/실습,GRADE,Health Assessment & Practice,상대평가,,,,,,,15,12,10,8,3,3,,,
3485,3485.0,간호대학 간호학과,2.0,1361-2009,1.0,건강사정법및실습,20.0,20.0,전공(핵심),2/1/2,,"월13:00~14:00(401기본간호학실습실), 월14:00~16:00(401기본간호학실습실)",박세연,전임교수,,,,,전공(핵심),2024.0,이론/실습,GRADE,Health Assessment & Practice,상대평가,,,,,,,15,12,10,8,3,3,,,
3486,3486.0,간호대학 간호학과,2.0,1361-2009,2.0,건강사정법및실습,20.0,20.0,전공(핵심),2/1/2,,"수09:00~11:00(401기본간호학실습실), 수11:00~12:00(401기본간호학실습실)",박세연,전임교수,,,,,전공(핵심),2024.0,이론/실습,GRADE,Health Assessment & Practice,상대평가,,,,,,,15,12,10,8,3,3,,,
